en,ar,bg,vi,he,es_ES,it,zh_Hant_TW,zh_Hans,ko,de,pl,pt_BR,ro,ru,th,tr,fr,cs,ja,km,my,lo,ne,id,fil
Open a payment page in a new tab?,هل تريد فتح صفحة الدفع في علامة تبويب جديدة؟,Да се отвори ли страница за плащане в нов раздел?,Mở trang thanh toán trong tab mới?,?לפתוח דף תשלום בכרטיסייה חדשה,¿Abrir una página de pago en una pestaña nueva?,Aprire una pagina di pagamento in una nuova scheda?,是否要在新的分頁，開啓付款頁面呢？,在新选项卡中打开支付页面？,새 탭에서 결제 페이지를 열까요?,Zahlungsseite in einem neuen Tab öffnen?,Otworzyć stronę płatności w nowej karcie?,Abrir uma página de pagamento em uma nova aba?,Deschideți o pagină de plată într-o filă nouă?,Открыть страницу оплаты в новой вкладке?,เปิดหน้าชำระเงินในแท็บใหม่หรือไม่,Ödeme sayfası yeni sekmede açılsın mı?,Ouvrir la page de paiement dans un nouvel onglet ?,Otevřít stránku s platbou na nové kartě?,新しいタブで決済ページを開きますか？,បើកទំព័របង់ប្រាក់ក្នុង​ផ្ទាំង​ថ្មីដែរឬទេ?,ငွေပေးချေမှုစာမျက်နှာကို တဘ်အသစ်တွင် ဖွင့်မလား။,ເປີດ​ໜ້າ​ການ​ຊຳ​ລະ​ເງິນ​ຢູ່​ໃນ​ແທັບ​ໃໝ່​ບໍ?,नयाँ ट्याबमा भुक्तानी पृष्ठ खोल्ने हो?,Buka halaman pembayaran di tab baru?,Magbukas ng page ng pagbabayad sa bagong tab?
"Couldn't open the payment page, try again later",تعذّر فتح صفحة الدفع. حاول مرة أخرى في وقت لاحق.,"Страницата за плащане не може да се отвори, опитайте отново по-късно","Không thể mở trang thanh toán, hãy thử lại sau",פתיחת דף התשלום נכשלה. כדאי לנסות שוב מאוחר יותר.,No ha sido posible abrir la página de pago; vuelve a intentarlo más tarde,"Impossibile aprire la pagina di pagamento, riprovare più tardi",無法開啓付款頁面，請稍後再試一次,无法打开支付页面，请稍后重试,결제 페이지를 열 수 없습니다. 나중에 다시 시도해 주세요.,Die Zahlungsseite konnte nicht geöffnet werden. Versuchen Sie es später noch einmal.,Nie można otworzyć strony płatności. Ponów próbę później,"Não foi possível abrir a página de pagamento, tente novamente mais tarde.","Nu s-a putut deschide pagina de plată, încercați din nou mai târziu","Не удалось открыть страницу оплаты, попробуйте позже",ไม่สามารถเปิดหน้าชำระเงิน โปรดลองอีกครั้งภายหลัง,Ödeme sayfası açılamadı. Daha sonra tekrar deneyin.,"Impossible d'ouvrir la page de paiement, réessayez plus tard","Stránku s platbou se nepodařilo otevřít, zkuste to znovu později",決済ページを開くことができませんでした。後で再試行してください。,មិនអាចបើក​ទំព័របង់ប្រាក់​បាននោះទេ សូម​ព្យាយាម​ម្ដងទៀត,ငွေပေးချေမှုစာမျက်နှာကို ဖွင့်၍မရပါ၊ နောက်မှ ထပ်စမ်းကြည့်ပါ။,"ບໍ່​ສາ​ມາດ​ເປີດ​ໜ້າ​ການ​ຊຳ​ລະ​ໄດ້, ລອງ​ໃໝ່​ພາຍ​ຫຼັງ","भुक्तानी पृष्ठ खोल्न सकिएन, पछि फेरि प्रयास गर्नुहोस्",Tidak dapat membuka halaman pembayaran. Coba lagi nanti,"Hindi mabuksan ang page ng pagbabayad, subukan ulit sa ibang pagkakataon"
"Yes, open",نعم، افتح,"Да, отвори","Vâng, mở","כן, פתח","Sí, abrir","Sì, apri",是，打開,是，打开,"예, 열기","Ja, öffnen","Tak, otwórz","Sim, abrir","Da, deschide","Да, открыть","ใช่, เปิด","Evet, aç","Oui, ouvrir","Ano, otevřít",はい、開く,"បាទ, បើក",ဟုတ်၊ ဖွင့်ပါ,"ເອົາ, ເປີດ","हो, खोल्नुहोस्","Ya, buka","Oo, buksan"
Cancel,إلغاء,Отказ,Hủy,ביטול,Cancelar,Annulla,取消,取消,취소,Abbrechen,Anuluj,Cancelar,Anulează,Отмена,ยกเลิก,İptal,Annuler,Zrušit,キャンセル,បោះបង់,ရုပ်သိမ်း,ຍົກເຍິບ,रद्द गर्नुहोस्,Batal,I-cancel
